	V1	V2	V3	V4	V5	V6	V7	V8	V9	V10	V11	V12	V13	V14	V15	V16	V17	V18	V19	V20	
nmae_10_weighted&ab	1.232817617	1.099888242	1.044817054	1.014256584	1.004943666	0.998784173	0.995667995	0.990198561	0.986939816	0.982325621	0.978172117	0.976737282	0.977233231	0.974830937	0.975216273	0.974582781	0.974654431	0.9724706	0.971830195	0.971714159	
pearson_0_weighted-centered&ab	1.265777447	1.128548384	1.063062557	1.031557614	1.014030866	1.000462471	0.990818327	0.984842078	0.978733074	0.975303795	0.969767053	0.964739632	0.963590547	0.959767566	0.956911284	0.954142119	0.951312231	0.948105388	0.94628716	0.944652973	1
RFP_0_weighted-centered&ab	1.197876895	1.073250747	1.019830102	0.992799094	0.981177112	0.968296743	0.96067283	0.953449654	0.950825642	0.948738251	0.94395205	0.939382869	0.937712975	0.935134881	0.93397878	0.932153751	0.930453198	0.931189911	0.931418973	0.931259605	
nrmse_0_weighted-centered&ab	1.135433642	1.049167656	1.005767226	0.993929231	0.974088432	0.971265602	0.971182197	0.966411976	0.96446177	0.95880211	0.953667858	0.952491637	0.949344966	0.948116135	0.944037651	0.941773809	0.939875247	0.940577523	0.938483801	0.937482763	
nmae_0_weighted-centered&ab	1.179864395	1.080582427	1.031408765	1.00942379	0.991228057	0.982909805	0.972537342	0.964643495	0.962387024	0.958322713	0.954191066	0.952288206	0.950352016	0.949066876	0.949241166	0.947537323	0.946604894	0.944294985	0.943671137	0.942424064	
pearson_4_weighted-centered&ab	1.256538457	1.116624021	1.042205462	1.013751622	0.999407812	0.984759555	0.978300922	0.968923959	0.964836262	0.964192856	0.960366251	0.956562245	0.955335804	0.951981536	0.950244491	0.947691009	0.94459263	0.943614455	0.941765836	0.940468796	
RFP_4_weighted-centered&ab	1.196850628	1.071183168	1.018058693	0.991992111	0.980291313	0.96741372	0.95951978	0.952275813	0.950360061	0.948037947	0.94377388	0.939369842	0.937259883	0.935746014	0.934961431	0.932811125	0.931436637	0.931991235	0.932191263	0.93262949	
nrmse_4_weighted-centered&ab	1.137028635	1.051514316	1.006755727	0.994515453	0.973968021	0.971601046	0.972171612	0.96657559	0.963561204	0.957668155	0.952700442	0.951963249	0.948894911	0.948093285	0.944148265	0.94157961	0.939987726	0.940456373	0.938706287	0.937449349	
nmae_4_weighted-centered&ab	1.194237875	1.081914951	1.030660794	1.006129703	0.989804777	0.981126486	0.971270483	0.962809286	0.962066089	0.956976028	0.952988068	0.95188468	0.950974661	0.949829684	0.950358471	0.947939004	0.946895444	0.944738615	0.944339786	0.942362469	
pearson_10_weighted-centered&ab	1.240740532	1.102928202	1.043128539	1.014177892	1.000383835	0.986747708	0.981510199	0.976251309	0.969543177	0.967277065	0.96384739	0.962931089	0.958994247	0.957079009	0.953179327	0.952164198	0.950208575	0.949958575	0.948413144	0.94743594	
RFP_10_weighted-centered&ab	1.190927596	1.068406358	1.01750137	0.993041364	0.980363316	0.972713739	0.964455658	0.960837998	0.959135952	0.95560685	0.950237456	0.947414374	0.945164177	0.944531074	0.943390852	0.941454473	0.941181769	0.942648008	0.943077974	0.94317108	
nrmse_10_weighted-centered&ab	1.141581397	1.05538202	1.009967461	0.997963007	0.979573314	0.974233226	0.973372018	0.967477036	0.963859528	0.958811548	0.954807852	0.953675985	0.951616382	0.949902616	0.94654194	0.943466571	0.941569074	0.941801819	0.939300693	0.938490603	
nmae_10_weighted-centered&ab	1.194724739	1.078694542	1.030966649	1.001016909	0.986273985	0.97722996	0.970463815	0.965498838	0.961685644	0.956681791	0.952158388	0.951835847	0.950255843	0.947884064	0.946928199	0.944751303	0.945375136	0.942290947	0.941021134	0.940442235	
